Subject,Cond,Exper,Inifile,Date,Time,que1,instrConsc1,conscMPQ1,conscMPQ2,conscMPQ3,conscMPQ4,conscMPQ5,conscMPQ6,conscMPQ7,conscMPQ8,conscMPQ9,conscMPQ10,conscNEO1,conscNEO2,conscNEO3,conscNEO4,conscNEO5,conscNEO6,conscNEO7,conscNEO8,conscNEO9,conscNEO10,conscNEO11,conscNEO12,conscNEO13,conscNEO14,conscNEO15,conscNEO16,tinstrConsc1,tconscMPQ1,tconscMPQ2,tconscMPQ3,tconscMPQ4,tconscMPQ5,tconscMPQ6,tconscMPQ7,tconscMPQ8,tconscMPQ9,tconscMPQ10,tconscNEO1,tconscNEO2,tconscNEO3,tconscNEO4,tconscNEO5,tconscNEO6,tconscNEO7,tconscNEO8,tconscNEO9,tconscNEO10,tconscNEO11,tconscNEO12,tconscNEO13,tconscNEO14,tconscNEO15,tconscNEO16,que2,instConscAdj,conscAdj1,conscAdj2,conscAdj3,conscAdj4,conscAdj5,conscAdj6,conscAdj7,conscAdj8,conscAdj9,conscAdj10,conscAdj11,conscAdj12,tinstConscAdj,tconscAdj1,tconscAdj2,tconscAdj3,tconscAdj4,tconscAdj5,tconscAdj6,tconscAdj7,tconscAdj8,tconscAdj9,tconscAdj10,tconscAdj11,tconscAdj12,que3,que4,ncog1,ncog2,ncog3,ncog4,ncog5,ncog6,ncog7,ncog8,ncog9,ncog10,ncog11,ncog12,ncog13,ncog14,ncog15,ncog16,ncog17,ncog18,tNFCinstr1,tNFCinstr2,tncog1,tncog2,tncog3,tncog4,tncog5,tncog6,tncog7,tncog8,tncog9,tncog10,tncog11,tncog12,tncog13,tncog14,tncog15,tncog16,tncog17,tncog18,que5,persQueInstr,prf_cs1,prf_im1,jpi_comp1,jpi_inno1,spi_cnv1,prf_cs2,prf_im2,jpi_comp2,jpi_inno2,spi_cnv2,prf_cs3,prf_im3,jpi_comp3,jpi_inno3,spi_cnv3,prf_cs4,prf_im4,jpi_comp4,jpi_inno4,spi_cnv4,prf_cs5,prf_im5,jpi_comp5,jpi_inno5,spi_cnv5,prf_cs6,prf_im6,jpi_comp6,jpi_inno6,spi_cnv6,prf_cs7,prf_im7,jpi_comp7,jpi_inno7,spi_cnv7,prf_cs8,prf_im8,jpi_comp8,jpi_inno8,spi_cnv8,prf_cs9,prf_im9,jpi_comp9,jpi_inno9,spi_cnv9,prf_cs10,prf_im10,jpi_comp10,jpi_inno10,spi_cnv10,prf_cs11,prf_im11,jpi_comp11,jpi_inno11,spi_cnv11,prf_cs12,prf_im12,jpi_comp12,jpi_inno12,spi_cnv12,prf_cs13,prf_im13,jpi_comp13,jpi_inno13,spi_cnv13,prf_cs14,prf_im14,jpi_comp14,jpi_inno14,spi_cnv14,prf_cs15,prf_im15,jpi_comp15,jpi_inno15,spi_cnv15,prf_cs16,prf_im16,jpi_comp16,jpi_inno16,jpi_comp17,jpi_inno17,jpi_comp18,jpi_inno18,jpi_comp19,jpi_inno19,jpi_comp20,jpi_inno20,tpersQueInstr,tprf_cs1,tprf_im1,tjpi_comp1,tjpi_inno1,tspi_cnv1,tprf_cs2,tprf_im2,tjpi_comp2,tjpi_inno2,tspi_cnv2,tprf_cs3,tprf_im3,tjpi_comp3,tjpi_inno3,tspi_cnv3,tprf_cs4,tprf_im4,tjpi_comp4,tjpi_inno4,tspi_cnv4,tprf_cs5,tprf_im5,tjpi_comp5,tjpi_inno5,tspi_cnv5,tprf_cs6,tprf_im6,tjpi_comp6,tjpi_inno6,tspi_cnv6,tprf_cs7,tprf_im7,tjpi_comp7,tjpi_inno7,tspi_cnv7,tprf_cs8,tprf_im8,tjpi_comp8,tjpi_inno8,tspi_cnv8,tprf_cs9,tprf_im9,tjpi_comp9,tjpi_inno9,tspi_cnv9,tprf_cs10,tprf_im10,tjpi_comp10,tjpi_inno10,tspi_cnv10,tprf_cs11,tprf_im11,tjpi_comp11,tjpi_inno11,tspi_cnv11,tprf_cs12,tprf_im12,tjpi_comp12,tjpi_inno12,tspi_cnv12,tprf_cs13,tprf_im13,tjpi_comp13,tjpi_inno13,tspi_cnv13,tprf_cs14,tprf_im14,tjpi_comp14,tjpi_inno14,tspi_cnv14,tprf_cs15,tprf_im15,tjpi_comp15,tjpi_inno15,tspi_cnv15,tprf_cs16,tprf_im16,tjpi_comp16,tjpi_inno16,tjpi_comp17,tjpi_inno17,tjpi_comp18,tjpi_inno18,tjpi_comp19,tjpi_inno19,tjpi_comp20,tjpi_inno20,que6,instrPID,PID1_d,PID2_i,PID3_d,PID4_i,PID5_i,PID6_d,PID7_d,PID8_i,PID9_i,PID10_d,PID11_d,PID12_i,PID13_d,PID14_d,PID15_i,PID16_d,PID17_i,PID18_i,tinstrPID,tPID1_d,tPID2_i,tPID3_d,tPID4_i,tPID5_i,tPID6_d,tPID7_d,tPID8_i,tPID9_i,tPID10_d,tPID11_d,tPID12_i,tPID13_d,tPID14_d,tPID15_i,tPID16_d,tPID17_i,tPID18_i,que7,gender,ethn,age,debrWIT,debrAMP1,debrAMP2,debrAMP3,debrAMP4,debrAMP5,race1,race2,race3,race4,race5,race6,tdebrWIT,tdebrAMP1,tdebrAMP2,tdebrAMP3,tdebrAMP4,tdebrAMP5,trace1,trace2,trace3,trace4,trace5,trace6
79,2,C:\Documents and Settings\replicationlab\My Documents\replicationStudy\start.exp,default.mlp,9/26/2012,12:41:22,conscientiousness,ok,4,4,5,3,4,5,2,5,2,4,1,5,2,3,2,4,2,5,3,2,4,3,1,2,5,4,24609,4375,7500,1547,7781,2203,1171,3359,1547,2578,2735,1984,2406,2640,1625,1843,2141,1875,2578,2000,2891,1515,2640,1781,2125,2656,2500,conscientiousnessAdjectives,ok,4,5,5,5,3,5,4,4,4,1,3,3,9125,2407,1531,953,1953,4250,1140,1765,1188,1906,1531,3218,3047,intro_slides,NFC,2,4,4,2,2,3,2,4,4,3,4,2,4,4,3,5,1,4,4296,7703,5703,5968,11719,11609,5843,2891,4266,4953,4312,5000,7672,3969,9766,2187,2703,2718,4000,3437,persQuestionnaires,ok,3,4,2,4,3,1,5,2,1,3,2,5,4,5,3,4,4,3,2,2,4,4,5,4,4,1,1,2,1,1,1,4,5,4,3,4,5,3,4,2,2,5,3,3,4,3,5,1,2,4,1,4,3,3,4,4,4,4,2,1,5,2,5,5,4,4,1,5,2,5,4,3,2,5,4,2,3,1,1,3,4,1,5,4,4,4,4,23250,8813,3156,14016,2641,2953,3985,3484,4844,5360,5359,3578,1844,3265,1875,2656,4765,3344,3516,4813,4219,4875,2968,2531,2875,3016,2562,4547,4344,9313,1828,5281,4140,2750,3406,5297,4500,2984,9609,7390,3250,8766,2750,4844,3625,1969,3391,2016,2312,2688,3422,3172,3750,2172,6625,4860,16125,1938,2625,2468,1938,3453,6328,2688,3969,2500,3406,2172,2047,6859,2031,3906,4484,2704,3250,2766,3094,2735,2000,4859,8047,3891,2375,3578,4469,3437,6594,1407,PID,ok,1,2,5,2,3,4,4,3,4,5,5,3,4,3,2,4,4,2,11844,14282,3234,9156,6515,3282,1937,2703,7406,2421,1000,3218,6422,16562,2687,1859,1812,2703,2063,post,1,Asian,18,ok,1,2,ok,2,ok,3,2,2,1,2,1,122375,6640,7094,45891,3985,75985,5672,2188,1625,3156,3234,3797
87,3,C:\Documents and Settings\replicationlab\My Documents\replicationStudy\start.exp,default.mlp,9/27/2012,12:30:11,conscientiousness,ok,5,4,3,5,5,2,4,5,3,3,1,5,4,4,1,2,2,4,4,4,2,5,3,4,4,4,22204,3313,4141,2265,1984,1719,4688,2750,2515,2875,2344,2031,2313,1969,2078,2562,4828,3172,1937,1640,1484,5422,2312,1984,1672,1719,1765,conscientiousnessAdjectives,ok,5,2,4,3,2,4,4,2,4,2,4,2,5406,1594,3469,1219,1687,4953,1047,1875,1203,1063,2562,1203,1360,intro_slides,NFC,2,4,2,4,2,4,3,4,4,4,4,2,1,4,4,4,3,5,4547,7406,6000,5562,2875,4453,10266,5328,2656,4484,4109,5047,3625,5375,4141,2718,8172,8359,5781,5172,persQuestionnaires,ok,2,4,4,3,4,3,5,2,2,3,2,2,4,3,3,3,4,4,2,3,3,4,3,4,4,1,3,4,3,2,3,4,3,5,4,2,3,3,3,4,4,2,2,3,3,2,3,3,3,3,4,3,4,3,4,4,4,5,2,2,3,4,4,2,4,2,4,4,3,5,4,3,3,4,2,4,4,2,3,4,4,3,4,3,3,3,3,24625,3187,3953,5844,6656,5265,4203,3047,3000,4438,5281,3484,3640,3906,2594,3641,4734,2140,4359,3859,3313,7031,2672,3593,4453,6657,3985,5828,6140,3156,4343,3953,2953,3015,2015,4062,5454,8656,4875,8375,3610,9235,2922,3078,4796,3422,6875,3985,3766,3141,4922,4140,2890,5234,2766,4406,2938,2421,3234,5297,3515,4640,4219,2704,3625,3953,3718,4828,3125,3797,3156,3500,7078,5579,4234,2453,5812,2359,2078,5829,3703,4172,2844,3313,3609,3687,3375,4656,PID,ok,4,4,5,1,2,4,2,4,4,1,4,3,4,4,4,4,4,3,14766,6437,3203,3343,7937,6859,2109,6266,4297,2547,2282,7688,3735,8094,3641,3016,7641,2156,4921,post,2,Chinese,18,ok,1,4,ok,2,ok,3,2,2,2,2,2,30500,7203,4875,47296,5000,7282,8391,2922,2141,4922,3750,2578
95,6,C:\Documents and Settings\replicationlab\My Documents\replicationStudy\start.exp,default.mlp,9/28/2012,10:40:37,conscientiousness,ok,5,4,4,5,1,2,4,2,5,2,5,3,5,4,3,3,3,2,4,4,2,3,2,3,2,3,27031,6625,3907,3344,3937,5875,1969,1937,2203,2328,2297,3094,6219,2546,2031,7813,3922,2281,2765,1375,1609,9984,3656,2297,2657,5125,9328,conscientiousnessAdjectives,ok,4,2,4,3,1,2,3,2,2,3,4,2,8656,3609,5656,2141,4172,2094,3250,1860,1719,1125,3469,1844,3735,intro_slides,NFC,2,4,3,3,2,2,2,3,2,3,3,2,2,4,4,2,2,4,4265,5250,14437,7906,3047,6938,6281,5938,11391,3719,7390,6015,9438,5578,6625,3985,14844,8110,8688,5157,persQuestionnaires,ok,2,1,3,3,5,4,4,3,2,3,3,2,3,4,2,2,4,4,1,2,2,2,4,2,1,1,4,5,1,3,1,2,4,3,4,4,2,4,3,1,2,1,3,5,2,3,5,5,1,2,1,2,3,4,3,4,4,5,2,3,1,1,4,1,3,4,4,4,3,4,2,2,2,3,3,5,4,4,3,4,3,4,2,3,2,5,5,23656,7078,4047,6875,8937,6562,5313,3453,6875,11703,11735,4891,4421,5156,2172,10922,6047,2938,7781,5266,8375,5500,7157,4906,9266,6938,6297,5000,7250,3859,11296,6641,3641,3765,23156,12797,16312,4921,8204,5016,5156,9953,4719,6937,3656,8187,7078,7625,5437,2297,14390,4594,8234,8265,7141,8453,4891,3187,4781,5859,6219,3906,5422,5454,5688,7375,9234,4390,3079,10094,6406,8203,5203,9421,8703,4937,6172,3063,24046,4813,8047,3719,2859,6578,3047,4828,4375,5765,PID,ok,4,2,4,2,3,4,5,3,2,4,4,2,4,4,3,3,2,3,7234,3547,8734,2843,5688,12329,14390,3453,9296,3453,3172,3032,2890,3203,6859,2609,3375,1906,13375,post,1,Chinese/Greek/African American,18,ok,2,5,ok,2,ok,1,2,2,2,2,2,170328,5578,5141,109469,4594,27656,11641,2015,1953,5078,3156,1563
97,1,C:\Documents and Settings\replicationlab\My Documents\replicationStudy\start.exp,default.mlp,9/28/2012,11:32:31,conscientiousness,ok,3,4,3,3,5,3,3,4,2,1,2,4,4,4,3,3,3,3,5,4,1,3,4,4,1,3,15484,2454,2500,4953,2484,3062,1906,1734,2562,6375,2734,6828,3110,4813,1953,6187,7859,2312,4297,2563,3187,5047,3672,1781,1922,1938,6250,conscientiousnessAdjectives,ok,3,3,3,5,4,4,4,1,1,1,4,2,7203,4469,1609,5093,1984,2219,2015,2766,2000,1266,1391,4110,3672,intro_slides,NFC,4,4,4,2,2,2,5,5,2,4,4,3,3,1,4,3,5,2,5641,6047,3906,5843,4297,9140,8688,4547,2562,4125,6891,6453,4687,8375,4282,3953,14531,5719,10078,9547,persQuestionnaires,ok,3,3,3,3,3,3,4,3,5,2,2,3,4,4,3,5,3,5,5,3,3,3,3,4,1,2,1,3,2,4,2,3,5,4,3,5,5,4,3,3,5,4,3,3,3,2,1,5,4,4,1,3,4,2,4,4,2,4,2,3,3,4,3,2,3,4,5,4,3,2,3,3,1,5,3,3,3,5,3,3,3,5,3,3,3,5,3,13766,2531,4031,4000,4532,3906,5234,5109,2828,11079,4156,5047,2468,4656,4922,3063,5704,3250,4407,3360,3953,6969,4063,8046,3719,4422,7547,4141,5234,3156,4968,6141,4703,3625,9515,4359,4312,3141,8578,6781,3704,9422,4219,2954,2594,6000,10953,4282,4250,3156,7406,5328,2438,5500,4406,5844,5157,2672,5640,3750,2625,6218,5234,4969,5625,5016,4578,3687,3656,4671,2953,8828,4468,4141,6531,3406,3953,8781,2313,4422,3578,7015,2547,4250,3469,7031,4969,3359,PID,ok,3,2,5,2,1,3,3,3,2,1,3,3,3,4,1,3,3,1,9219,4562,2672,5079,5047,5593,1969,8000,3672,3375,2250,11687,5766,4781,1844,2453,5453,4250,2266,post,2,Mixed Breed,18,ok,2,5,ok,2,ok,3,2,1,1,1,1,86813,4640,3484,54907,4141,64734,9719,3187,3234,2703,3875,7156
104,1,C:\Documents and Settings\replicationlab\My Documents\replicationStudy\start.exp,default.mlp,9/28/2012,12:30:29,conscientiousness,ok,5,4,4,5,2,1,4,2,2,4,1,3,4,2,4,2,5,1,4,1,2,4,3,3,2,1,19484,3297,4250,3547,1328,2703,1797,3406,3531,1500,3516,4188,4453,2718,1844,3016,1516,2532,1860,1500,1953,2234,3062,3312,3125,1531,2750,conscientiousnessAdjectives,ok,4,1,4,3,2,3,4,2,1,3,4,3,15547,2484,1422,1485,2985,2094,3093,1641,1203,1141,2297,3047,3265,intro_slides,NFC,4,4,2,2,1,5,4,5,2,4,5,1,2,5,4,2,1,3,5750,1235,3844,4125,2782,7078,4594,4750,2609,3547,4969,7188,6813,3407,4094,3078,7250,6641,4109,6281,persQuestionnaires,ok,2,2,5,5,5,3,5,4,1,5,2,5,5,5,5,4,5,5,2,1,2,2,5,5,2,1,2,4,2,5,2,2,1,5,5,5,1,5,2,5,1,2,4,3,3,5,5,2,2,5,3,2,5,2,5,4,4,5,2,5,1,2,5,2,5,5,2,4,5,2,4,3,2,5,2,5,4,1,2,4,5,2,5,5,4,5,2,24312,4265,4907,4828,2547,2156,4312,3656,4438,6047,4500,4250,3218,2344,2703,2454,5563,1297,2109,3515,4391,11860,5063,2687,4687,7688,4219,5187,5781,3062,4125,4484,2937,3078,2859,2218,4578,2797,3281,8469,5438,4140,3359,3984,3969,4016,4641,2015,4844,3157,5813,5375,2453,3687,2797,5125,6016,3765,2562,3500,5047,3625,3844,4375,2782,3563,3641,3515,3125,4454,3250,5812,11156,4594,5985,4313,3985,5016,3141,3813,4032,2547,2891,3953,3000,3641,4671,5610,PID,ok,5,5,4,2,3,5,5,5,5,1,5,4,5,4,4,4,4,5,14719,4343,2063,3172,4047,4390,1656,2578,4266,1671,1500,3578,4188,6031,2547,2375,3359,1703,3407,post,2,Indian,18,ok,2,2,ok,1,ok,3,2,2,1,2,2,49765,8828,6875,15234,4907,13703,9906,3421,2406,6203,5953,2969
113,6,C:\Documents and Settings\replicationlab\My Documents\replicationStudy\start.exp,default.mlp,10/1/2012,10:39:21,conscientiousness,ok,5,4,4,4,5,4,4,5,5,4,2,4,3,4,2,4,2,4,2,2,4,4,3,3,3,4,9188,2328,1688,2110,2797,2125,2203,4156,2094,2406,1859,3141,2719,3718,2953,2016,2297,1547,2250,2969,3344,1797,2328,2110,2891,3390,2172,conscientiousnessAdjectives,ok,5,4,5,5,4,4,3,4,2,1,4,2,12110,3157,2735,1578,2016,2000,1250,2688,2609,2125,2469,3125,2141,intro_slides,NFC,5,4,1,2,2,4,3,2,2,3,4,2,4,4,4,2,2,4,5906,13078,10516,3266,3000,3391,2875,3172,2390,3578,3343,6109,2797,4968,2594,2328,7343,11047,5656,2609,persQuestionnaires,ok,2,2,2,4,4,5,5,4,2,5,2,3,2,4,4,4,4,5,2,3,3,4,3,4,2,4,4,4,2,5,2,3,2,4,3,5,2,4,4,3,2,4,3,4,2,5,4,4,2,3,4,4,3,4,4,3,4,4,2,5,2,4,4,4,4,3,4,4,3,4,4,3,3,5,4,4,4,5,3,2,4,5,3,1,5,4,4,9063,2844,2985,3312,3781,1843,3079,4484,4672,3594,4437,3922,3406,5500,4454,3453,4625,1187,3110,2703,2281,4953,3718,3406,3625,3031,4875,4375,4547,6297,2953,3641,2688,2532,2688,2344,4625,11359,4531,4437,3125,5750,4360,2407,1953,4250,3469,2250,2906,2187,2156,5718,3203,4094,2141,2344,4328,1703,1688,2907,4250,3641,2594,4719,4828,2219,2797,2437,2265,4157,2141,6937,2406,3156,3047,2609,2469,3875,2109,3062,5156,2594,1828,3844,4062,3047,5610,6407,PID,ok,5,4,5,3,2,4,5,5,5,5,5,4,5,4,5,3,4,5,7860,7359,3109,5875,5312,6875,1906,10766,2500,2250,1531,7187,3406,4140,2125,2172,5516,2110,2031,post,1,Sri Lankan,19,ok,2,5,ok,2,ok,3,2,2,1,1,2,55266,4625,6610,47578,5047,56515,7141,1750,3953,2250,2110,1953
117,3,C:\Documents and Settings\replicationlab\My Documents\replicationStudy\start.exp,default.mlp,10/1/2012,11:29:48,conscientiousness,ok,5,1,4,4,2,3,5,2,3,3,2,4,3,2,3,3,2,3,4,5,3,3,3,3,2,3,23829,2469,2593,2156,1500,2250,2000,2297,2843,1687,1390,2609,3187,1734,2328,1844,2969,2687,2515,3234,3703,2093,2984,2234,1953,1969,2531,conscientiousnessAdjectives,ok,4,2,4,4,3,2,4,2,2,3,4,2,16188,2406,1906,3109,1812,1766,2282,1735,1735,2016,2204,1641,2500,intro_slides,NFC,4,3,2,4,2,3,4,4,3,2,2,1,4,2,3,2,2,3,4453,10797,4188,4843,3406,5390,4094,3391,5828,5765,4734,6875,3266,4313,16203,3907,5547,5984,7375,3157,persQuestionnaires,ok,1,2,4,3,3,4,3,2,2,5,1,3,4,2,3,3,4,2,3,3,2,4,3,2,4,2,3,5,4,3,1,2,4,2,4,3,2,2,2,3,2,1,4,2,3,3,3,2,4,2,2,2,4,3,4,4,4,4,2,3,3,2,5,2,3,4,3,2,4,4,4,2,3,3,2,3,3,2,4,5,2,3,4,3,4,3,4,20000,4078,3938,4203,2906,4125,2797,7359,3172,5735,3688,4562,4468,2500,3969,3797,4094,3015,4703,3922,3796,5328,3797,3907,3735,6265,6719,4188,4125,3906,5109,5484,6125,3594,3610,2969,5031,2875,6828,6000,4594,5890,2953,3703,4235,2907,5235,2922,3687,2516,3515,5250,3187,5969,3593,5750,6156,6063,4813,3172,3250,4672,3875,4250,3547,4375,3250,4391,3578,18516,3266,4954,8516,3172,3906,3890,6547,4141,2297,5250,5453,8719,3125,4094,4563,3906,3610,4984,PID,ok,5,4,4,4,3,4,5,4,4,5,5,4,4,4,4,3,4,4,13015,3969,2937,2594,6047,3921,2313,3094,3390,2406,1907,4547,3343,4766,1547,1844,3031,2204,2109,post,1,caucasian,18,ok,2,1,ok,3,ok,3,2,2,1,1,2,62016,42156,5547,10562,4328,5828,8266,3234,2281,3421,2688,3421
120,1,C:\Documents and Settings\replicationlab\My Documents\replicationStudy\start.exp,default.mlp,10/1/2012,12:29:36,conscientiousness,ok,5,2,2,5,4,1,4,1,4,2,2,4,4,4,4,5,2,4,4,1,4,4,1,4,1,4,10672,3531,3563,3203,2453,2454,2875,2375,2032,2985,2156,2281,2797,1640,1109,1140,3391,2203,1625,1734,2844,3250,3672,1687,2672,1735,3141,conscientiousnessAdjectives,ok,4,1,4,3,1,1,4,4,1,4,4,2,3719,3454,1766,1797,2828,1688,2094,2078,3641,1406,2844,1079,2625,intro_slides,NFC,1,1,1,5,5,1,2,1,5,1,1,5,1,1,1,5,4,5,4438,7968,7734,5812,1828,9172,4141,6016,6750,3843,8829,6906,3203,4110,3219,2828,10125,8000,10906,5547,persQuestionnaires,ok,1,1,3,2,4,2,2,2,4,4,2,2,4,2,2,2,5,2,2,4,2,3,2,2,5,2,5,3,4,2,2,2,4,4,4,4,4,2,4,4,2,2,4,4,4,5,5,1,3,3,1,1,4,2,5,5,5,4,2,4,4,4,4,2,4,4,4,3,2,5,2,2,1,1,5,4,5,2,2,4,2,2,5,2,2,2,2,28000,4156,2922,5141,3109,2547,2953,3516,4094,5500,4735,3797,2344,3578,2922,3563,3516,2312,3250,5562,6031,5390,5078,3625,4203,3234,4000,3204,8250,3454,5265,8297,2859,2953,5906,3359,3343,4203,3593,5703,6890,5688,3312,4500,3406,3235,6516,3688,3110,4797,5828,5812,3015,3579,4031,2750,2750,1375,5890,3328,2750,2891,4203,2016,3750,2250,3547,2390,5688,7610,1922,8078,4422,3063,3062,2047,5297,5312,3406,2796,3891,2141,2016,4000,4844,2438,7890,4656,PID,ok,5,5,5,2,4,4,4,4,4,4,4,2,4,4,4,4,4,4,11844,8031,3282,2453,5453,4235,2313,3250,5390,1781,2703,3140,4906,4172,1250,3359,3906,953,4437,post,1,caucasian,18,ok,2,2,ok,2,ok,3,2,2,2,1,2,43782,7282,9750,11328,11610,6922,12562,1453,1578,3203,6422,2281
125,5,C:\Documents and Settings\replicationlab\My Documents\replicationStudy\start.exp,default.mlp,10/3/2012,11:32:28,conscientiousness,ok,4,3,4,4,4,2,5,3,2,2,3,4,5,4,2,3,3,4,5,4,4,4,4,4,3,3,26891,4203,2047,3360,2531,2359,2250,2250,2703,2328,1578,1796,3594,2188,2281,3563,3031,3938,3984,1718,1594,1594,2578,1734,1641,1688,2219,conscientiousnessAdjectives,ok,4,2,4,3,2,2,4,2,2,2,4,2,5281,4062,1453,1531,3906,2140,1422,1063,1125,1641,2110,1860,3094,intro_slides,NFC,4,2,3,4,3,2,5,3,3,3,3,4,4,4,4,4,2,4,6313,11891,18797,6641,5187,9422,6219,5672,3343,4422,3485,8313,7250,3187,8203,4844,7156,5063,6703,4828,persQuestionnaires,ok,4,2,3,4,5,4,4,4,2,4,1,4,4,4,4,3,4,3,3,3,4,5,4,4,3,4,4,4,4,5,1,2,3,3,4,4,4,3,3,4,3,2,3,2,2,4,3,3,3,3,2,2,2,2,3,4,3,3,2,2,2,3,4,2,4,3,3,3,3,4,3,3,2,4,4,4,4,2,3,4,3,2,4,3,2,3,4,36266,4407,3547,5360,2000,3297,2375,3156,2953,5297,6609,4547,3109,2641,2281,2813,4718,1609,4531,4563,3671,5766,3344,4109,3141,4031,4109,2687,4140,3547,3531,4781,3390,3390,2703,2516,5391,3750,3969,6469,4047,4281,2734,2859,2437,2641,5485,3406,5172,1953,3704,6500,2750,2266,4078,5640,3922,2781,6657,3688,2704,5141,4032,4063,3532,2672,3734,3422,3453,3625,2907,7141,6797,2765,4031,4406,3656,4485,2079,6344,6250,4000,2625,4625,2938,3266,3016,4297,PID,ok,4,4,3,3,3,5,4,3,4,4,4,4,3,3,3,4,4,3,15031,18844,4078,3094,4359,3718,2703,7062,6984,3735,3219,4297,4125,3734,1968,2984,3578,1890,4125,post,1,English,18,ok,2,5,ok,2,ok,3,2,2,1,1,1,29953,8375,9312,217875,5000,14047,9047,2047,2187,3438,2656,2547
128,6,C:\Documents and Settings\replicationlab\My Documents\replicationStudy\start.exp,default.mlp,10/3/2012,12:32:41,conscientiousness,ok,4,1,4,4,2,2,3,1,4,1,3,4,4,3,2,3,2,3,4,4,1,4,1,3,1,4,21297,3703,3000,4312,1469,2328,1657,2266,2734,2609,1734,2750,5203,3250,2219,2563,4329,6484,4547,2156,1125,1625,1813,1532,2484,1656,4188,conscientiousnessAdjectives,ok,4,2,4,4,2,1,4,1,1,3,4,2,8078,2188,2813,1515,4859,2203,1641,2031,1219,1579,3047,2328,3188,intro_slides,NFC,2,4,3,2,2,3,4,2,2,3,4,2,3,2,4,4,2,4,4563,13204,4079,5703,5531,9344,5390,8938,4062,4531,6297,4125,6500,4578,4281,4156,13594,9922,9265,4297,persQuestionnaires,ok,4,2,4,4,3,2,4,5,2,4,2,3,3,4,2,4,5,3,4,3,2,4,3,3,2,1,4,5,3,1,1,1,3,3,2,4,2,3,4,1,2,2,3,1,2,3,4,1,5,4,2,1,3,2,4,4,4,3,2,2,3,2,4,2,4,4,4,4,3,5,2,2,3,2,4,4,4,1,3,4,2,2,5,2,2,3,4,45984,8984,4171,7141,3250,2469,3407,3265,4438,5125,3704,3485,3141,4141,3563,3547,4453,2344,6313,4063,4813,4515,3312,3687,3672,5391,4360,3657,4953,3485,5204,4015,3344,4360,9110,3766,6547,5312,4984,4812,4312,8265,3109,3797,2735,3672,5437,4156,3328,2610,5047,5141,3610,4031,2563,5203,3781,2422,3484,4312,3172,3515,4781,6266,4593,3156,4016,3281,3796,5625,3797,4703,4250,4047,4016,5234,4515,3735,2282,3609,6875,3844,2422,4406,2937,3250,5516,3578,PID,ok,4,3,4,2,2,4,4,4,5,4,4,4,4,4,3,3,4,4,10094,10500,2984,2688,7156,3531,2765,3812,4422,2984,2171,5641,3391,4391,3735,2469,4765,3391,3469,post,1,White,18,ok,2,4,ok,1,ok,3,2,2,1,2,2,64672,8562,10344,42406,4656,41079,7453,2391,2141,3860,3282,1750
134,1,C:\Documents and Settings\replicationlab\My Documents\replicationStudy\start.exp,default.mlp,10/4/2012,11:35:52,conscientiousness,ok,5,2,5,5,2,1,5,2,4,2,4,4,4,4,2,2,2,4,5,5,1,4,2,4,1,2,24734,4375,2609,2406,1078,6094,2875,1968,2766,2406,1719,3219,3484,2281,6297,2469,2687,2641,2375,2625,2203,1578,1516,1406,5766,2437,2625,conscientiousnessAdjectives,ok,5,2,5,5,1,1,4,1,1,4,5,1,20406,7937,1562,1422,1031,1343,734,1672,1547,1234,2672,2000,2453,intro_slides,NFC,4,4,2,2,2,2,2,1,2,5,4,1,2,4,2,4,1,4,5203,18093,9219,6578,10312,7234,10297,7094,5250,4828,5531,7515,4672,5812,6140,2312,14422,7172,7812,5531,persQuestionnaires,ok,1,2,4,4,3,4,5,4,1,4,2,2,4,4,3,4,5,2,4,2,2,2,4,2,3,4,4,5,1,4,2,2,4,2,4,4,4,2,2,4,2,1,3,2,2,5,5,1,4,4,1,1,4,2,4,4,5,5,2,2,4,1,5,2,4,4,4,5,4,4,1,4,2,4,4,5,5,1,4,4,2,2,4,2,4,4,2,47093,7922,6829,6860,3078,4781,5203,6766,2907,5188,4235,4375,3438,4000,2469,5141,5922,1875,6406,4781,4234,4781,3093,5453,8500,10687,4954,4640,5141,5250,5078,5781,3969,4500,4360,5000,8015,7016,3750,5656,4203,4718,5296,6297,5344,3859,5281,3093,4797,5796,4500,4391,2766,4422,7125,5312,4515,4266,3828,3391,4515,6094,4891,4860,5000,3265,3109,5719,4594,6765,3328,5906,9078,8485,4344,3828,2985,4828,4812,9000,5578,3250,2375,3391,4266,4187,10188,5781,PID,ok,5,4,5,3,2,5,5,4,5,5,5,4,5,5,4,5,3,4,24828,7328,5640,4187,12032,7562,3922,4344,4906,5343,1328,5484,8062,3937,3000,4719,4531,6188,3782,post,1,Caucasian,26,ok,2,4,ok,2,ok,3,2,2,1,1,2,53281,8156,5312,53641,4156,47469,21141,2812,3078,3406,3156,3000
